ENERGY,TOTFAT,CHOL,TOTALCARB,ADDSUG,PROT,VITD,VITA,VITB2,VITB12,VITC,CALC,SOD,IRON,POT,PHOS,HLTI,VIT_ESS,PROT_IN,LOW_SOD
2,0,2,2,2,1,0,0,2,2,2,1,1,2,2,1,20.86,16.86,8.35,8.25
2,2,0,1,2,1,1,1,1,2,1,2,2,1,1,1,22.57,8.91,9.77,10.03
0,0,2,0,2,0,0,1,0,2,0,1,2,0,2,1,11.92,6.99,5.47,8.26
0,1,1,1,2,1,0,2,2,0,2,2,0,2,2,2,24.04,16.81,7.4,16.31
2,2,0,2,2,0,2,2,2,2,0,1,0,2,0,1,20.96,20.5,6.53,10.27
1,1,2,2,2,0,0,1,0,0,2,2,2,1,0,0,11.15,8.17,6.29,6.07
1,0,1,1,2,1,0,0,1,1,2,2,0,0,1,1,22.07,6.83,7.85,16.48
1,2,1,2,2,0,1,1,2,0,0,0,2,1,1,1,14.23,6.34,6.04,6.63
0,1,2,0,0,2,0,0,1,1,0,0,2,2,0,1,10.58,2.33,7.88,2.63
1,0,2,1,2,0,2,2,1,0,2,2,0,2,2,1,23.25,16.38,9.67,14.51
0,2,0,1,2,1,2,1,0,1,1,1,2,1,2,0,17.75,8.18,7.68,10.25
0,1,2,0,0,2,1,2,1,0,0,2,1,2,1,2,16.33,8.51,11.14,6.88
1,2,2,1,0,2,0,1,1,0,0,0,0,2,1,1,16.38,2.47,11.6,8.82
0,1,0,2,0,0,0,0,1,2,2,2,0,2,2,0,17.52,12.55,6.77,14.91
2,1,0,1,2,1,0,2,1,1,2,2,2,2,0,1,22.54,12.97,7.2,10.54
2,0,1,2,1,0,2,2,2,1,1,1,0,0,1,2,22.57,14.28,6.52,14.39
0,1,1,2,1,2,0,1,0,0,2,2,1,0,2,2,15.63,6.93,8.57,8.55
0,2,1,0,2,0,1,0,1,0,1,2,0,0,2,1,13.22,2.29,5.28,12.36
2,1,2,0,2,2,2,2,2,1,1,1,2,0,2,1,20.55,14.06,11.53,6.83
2,0,0,1,0,1,2,2,0,0,1,2,1,1,2,0,21.87,12.42,9.67,12.16
0,1,2,2,0,2,2,1,2,2,0,0,0,0,0,2,15.55,12.41,4.91,6.93
2,0,1,2,2,2,0,0,0,1,1,0,2,2,1,0,14.95,2.84,10.14,6.23
2,2,1,1,0,0,0,0,1,2,0,2,1,1,2,2,17.73,8.47,9.66,10.23
2,0,0,1,2,2,2,2,0,2,2,1,0,2,1,2,28.96,20.41,13.04,14.44
2,1,2,0,0,0,1,2,1,2,1,1,1,0,0,1,15.72,10.78,5.6,6.84
2,2,2,1,1,1,0,2,0,0,2,0,2,2,0,0,12.05,10.78,5.77,4.39
2,2,2,2,0,0,0,2,2,0,2,0,1,1,2,2,14.57,14.98,6.13,4.57
1,1,0,1,1,2,0,0,2,0,0,1,0,0,1,0,18.36,6.25,11.83,14.19
1,1,2,1,1,0,0,2,1,1,0,1,2,1,0,2,16.59,8.55,7.14,8.44
2,2,1,2,2,0,0,0,2,0,0,0,0,2,2,2,14.63,6.57,6.17,10.6
0,2,1,1,0,0,0,1,2,1,1,0,1,0,1,2,13.27,4.5,3.69,8.01
0,0,2,1,0,0,1,1,2,1,0,0,2,1,0,0,11.17,6.6,3.08,6.12
2,2,0,1,0,1,0,2,0,2,2,1,0,0,0,0,18.65,14.34,5.62,12.35
1,1,1,2,1,2,0,0,1,2,0,0,1,2,1,1,17.09,6.88,10.86,6.96
0,0,1,2,1,2,1,0,0,1,2,1,0,0,0,0,14.66,6.58,6.96,10.24
0,0,2,0,2,2,0,2,2,0,2,2,2,0,0,0,12.87,14.93,7.57,4.74
2,2,2,1,2,0,1,0,2,0,0,1,1,1,2,2,15.95,8.61,9.63,8.24
2,2,0,0,1,0,2,2,2,2,2,0,1,0,2,2,18.15,20.35,5.73,6.72
2,2,2,0,1,1,0,2,1,1,2,1,0,2,1,2,20,12.09,9.26,10.07
0,1,0,2,2,2,2,2,0,2,1,2,0,2,1,0,21.21,16.72,10.21,12.11
2,0,0,1,0,0,0,0,1,1,2,2,1,0,0,2,16.64,6.93,6,10.19
1,1,0,1,2,0,1,2,1,1,2,0,0,0,2,1,21.66,8.79,5.06,14.32
1,0,2,2,1,1,2,1,2,0,1,0,2,2,2,2,18.64,10.27,6.98,6.88
0,0,0,0,0,0,2,0,1,2,2,0,2,2,1,2,17.05,14.31,5.2,8.58
1,0,0,1,1,0,0,1,2,1,2,2,0,2,0,0,20.34,12.26,7.26,14.09
0,1,2,2,0,1,1,2,1,2,0,1,2,2,1,2,18.99,12.63,6.59,8.3
1,1,1,1,2,2,1,1,0,2,0,0,0,0,2,1,20.59,4.16,9.88,12.53
1,1,2,1,2,1,1,0,0,0,0,0,1,0,1,0,11.79,0.38,5.89,8.44
0,1,2,2,1,2,2,1,2,1,1,1,2,1,2,0,17.99,12.58,10.3,6.72
1,2,1,1,0,2,2,2,1,2,1,2,1,1,1,0,22.24,16.85,13.42,8.87
0,1,2,1,2,1,2,2,2,1,0,0,1,2,1,2,19.58,14.62,5.51,8.58
1,2,2,0,1,2,1,1,0,0,2,2,0,1,0,0,14.42,8.36,11.01,6.14
0,1,0,2,0,0,2,0,2,2,0,1,1,0,1,0,14.41,14.23,4.37,10.41
2,1,2,0,1,1,0,2,2,2,1,0,1,1,2,2,19.67,14.78,7.02,6.15
2,1,0,1,1,0,0,2,0,2,2,2,2,0,1,1,20.05,14.77,7.28,12.17
0,1,1,0,1,0,0,0,1,2,1,1,1,0,2,2,14.82,6.52,5.21,10.98
2,2,2,1,0,0,2,1,2,1,1,1,2,1,0,2,17.2,12.66,7.76,6.9
2,1,1,0,0,0,1,0,1,1,2,2,2,2,2,0,17.6,8.58,9.81,10.24
0,0,0,1,0,2,2,0,2,1,2,0,2,0,0,1,17.72,12.66,5.53,6.89
2,1,1,0,0,0,1,2,0,1,2,0,2,1,2,1,18.04,10.62,7.05,8.03
1,0,1,2,0,0,2,1,0,1,0,2,2,2,1,0,16.27,8.95,8.96,10.26
1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,18.55,8.79,12.85,4.72
0,1,0,2,1,2,0,1,1,1,1,2,1,0,1,2,17,2.7,8.04,8.12
0,2,2,1,1,1,1,0,2,0,2,2,1,2,2,1,17.17,12.71,7.89,8.73
2,0,1,1,2,1,0,1,0,2,1,2,2,0,2,0,18.35,6.48,7.03,12.2
2,1,2,2,2,0,0,2,0,2,2,2,2,2,1,0,16.43,16.43,8.92,8.56
2,0,0,2,1,0,0,0,0,2,1,0,1,2,2,0,13.79,6.12,6.17,8.57
0,0,1,0,2,1,0,2,1,0,0,2,0,0,2,2,17.34,6.9,5.58,14.7
2,2,0,0,1,0,2,0,0,0,0,2,0,1,2,0,14.45,8.13,9.81,12.33
1,0,1,1,0,0,2,0,2,1,0,1,1,1,0,0,17.28,12.51,7.51,10.77
0,0,1,0,0,0,1,1,2,2,2,0,0,1,0,0,16.88,14.93,3.1,10.56
1,2,2,2,2,0,0,0,0,2,0,0,0,0,1,2,10.42,4.25,4.88,8.77
1,0,1,2,1,2,0,2,2,1,0,1,2,0,0,2,17.84,10.73,8.44,6.94
0,0,1,2,2,2,1,2,0,2,1,2,0,0,2,0,18.67,10.44,8.58,12.72
0,1,0,2,1,1,1,0,2,1,1,0,1,2,1,0,15.59,6.89,4.6,8.62
1,0,2,1,2,2,0,0,2,0,0,0,2,2,2,1,16.18,6.16,11.79,6.47
2,1,1,2,0,1,0,0,1,0,0,2,2,1,0,2,15.4,4.19,6.96,8.44
2,0,2,1,2,2,2,2,1,2,1,1,1,0,0,0,18.8,14.11,9.73,6.14
1,0,1,0,0,2,2,1,0,0,0,1,1,2,1,1,19.84,8.84,13.8,8.84
0,0,1,2,1,0,0,1,2,0,1,1,1,1,1,0,14.11,8.97,6.44,10.35
2,1,2,1,1,2,0,0,1,1,2,2,2,2,2,1,20.74,8.64,13.38,8.72
1,0,0,1,2,1,2,1,1,1,0,1,2,2,2,2,23.75,8.57,9.09,12.37
1,0,2,1,2,1,1,1,1,0,1,0,1,2,1,1,18.09,2.89,7.67,8.34
2,2,1,1,2,0,0,2,2,1,0,2,1,1,1,2,19.8,12.42,9.66,10.62
0,1,1,2,1,2,2,0,1,1,0,0,0,1,2,2,18.54,6.76,8.59,10.2
0,0,0,0,1,0,2,2,0,2,1,1,1,2,1,0,17.8,16.1,7.11,10.48
1,0,1,0,0,1,0,0,2,2,0,2,2,2,2,0,18.79,12.11,9.66,10.95
0,2,0,2,1,2,1,1,0,1,0,1,2,1,1,1,15.38,4.92,10.1,6.9
0,1,1,1,2,1,2,1,2,0,2,1,0,0,0,2,21.71,14.09,3.36,14.6
0,2,0,1,1,1,2,0,2,0,2,0,0,2,1,0,18.16,14.76,5.14,12.6
2,0,2,0,1,0,0,0,2,2,0,0,1,2,0,0,10.8,10.62,5.87,4.6
2,2,2,0,0,1,1,2,0,2,0,0,1,0,1,1,13.53,8.91,5.65,4.86
1,2,2,0,1,1,2,0,1,0,1,2,2,0,1,2,14.17,6.13,7.38,6.33
2,1,1,0,1,0,1,1,2,0,1,2,2,0,0,0,13.96,6.68,5.6,8.45
1,2,1,2,0,1,2,2,0,2,0,1,2,0,2,1,18.46,14.64,6.25,8.36
1,2,0,0,1,2,2,2,1,2,1,0,1,2,0,2,18.06,14.63,9.92,2.12
0,0,0,2,2,0,2,1,1,1,1,2,0,2,2,1,20.87,8.51,6.66,14.72
1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,16.25,4.79,9.04,12.08
0,0,2,1,0,1,1,1,2,1,1,2,2,2,1,0,18.67,8.83,7.38,10.18
0,1,2,1,2,1,2,2,0,1,2,0,1,1,1,2,19.06,14.34,5.74,8
1,2,1,1,0,0,2,1,0,0,0,0,2,1,2,0,13.73,6.67,7.1,8.25
1,1,0,1,0,0,2,0,2,0,2,1,0,0,1,1,22.57,14.71,7.15,16.7
1,2,1,1,2,1,1,0,0,2,1,2,0,0,1,2,20.31,6.1,7.81,14.61
2,0,0,2,2,1,0,1,2,0,2,1,1,2,1,2,21.73,12.08,8.03,10.47
0,1,1,2,2,2,0,1,2,0,1,2,0,1,2,0,18.09,8.19,10.06,12.52
1,2,2,0,1,0,2,2,2,2,1,0,1,2,2,1,17.83,18.87,7.57,4.48
2,2,2,0,2,1,0,1,0,0,2,1,1,1,2,2,15.22,8.58,9.69,6.31
0,0,0,2,1,2,1,2,1,1,0,2,2,2,1,2,19.71,8.8,10.07,8.32
0,2,0,0,2,2,0,1,0,1,1,1,0,2,1,2,17.14,4.95,11.7,10.92
0,1,2,1,1,0,0,0,2,2,1,1,0,0,1,0,15.89,10.49,5.51,14.89
2,0,2,1,1,0,2,1,0,1,0,1,0,2,0,1,18.03,8.38,7.48,12.72
1,2,2,1,2,0,2,2,0,2,0,2,2,0,1,0,14.41,14.2,7.03,8.24
2,2,2,0,1,0,1,0,0,1,1,1,2,0,0,0,7.73,2.28,5.24,4.59
2,2,2,2,1,2,2,2,2,1,0,0,2,0,1,1,15.18,12.52,8.08,2.57
0,2,2,1,2,2,0,0,2,1,0,0,0,2,2,1,15.16,6.84,9.56,8.22
1,1,0,0,2,1,1,1,2,2,2,2,2,1,2,0,22.67,16.31,9.88,10.17
0,1,0,0,0,0,1,2,2,0,0,1,2,0,0,0,11.08,10.48,3.2,8.69
2,2,2,1,0,0,1,2,2,1,0,0,1,1,1,1,16.11,10.51,7.26,6.34
0,1,2,2,1,2,0,2,0,0,0,2,1,2,1,1,14.19,8.6,10.09,6.25
1,0,0,1,1,1,0,2,1,1,0,0,0,1,2,2,22.32,6.28,7.82,14.83
1,0,0,0,2,2,1,1,0,2,1,1,0,0,1,0,19.73,6.42,11.13,12.4
1,1,2,2,2,1,2,0,2,1,2,1,0,1,2,0,21.86,16.01,8.01,12.69
1,1,1,1,2,2,0,2,1,1,0,2,2,2,1,2,22.01,8.26,13.6,10.38
0,0,1,1,1,2,0,2,1,0,2,0,1,2,1,0,17.9,10.66,9.08,8.38
0,1,0,2,0,0,2,0,1,0,0,2,1,0,1,2,13.78,6.67,4.98,10.43
2,2,0,2,0,1,1,1,0,0,0,0,2,0,2,1,12.35,0.32,4.4,6.4
0,0,1,2,2,1,0,2,1,2,0,0,0,0,1,1,17.02,8.27,2.84,12.28
1,1,1,1,1,1,1,2,1,0,0,0,1,2,2,0,18.17,6.66,7.31,10.48
0,2,1,0,2,0,0,1,0,1,2,2,0,0,2,1,14.36,6.58,5.79,12.86
2,0,0,0,2,2,1,2,0,2,1,0,2,2,1,2,20.08,10.08,11.74,6.98
0,2,1,2,2,0,2,2,1,0,2,2,1,0,2,2,15.68,14.1,4.15,8.15
2,2,2,0,2,0,2,0,1,1,2,0,1,0,0,1,10.11,8.72,3.08,2.84
2,1,1,1,0,1,1,1,0,2,0,0,0,1,1,2,22.7,6.31,7.64,14.31
0,1,1,0,0,2,0,1,0,1,1,1,0,2,2,0,17.95,4.17,11.25,12.05
0,1,0,1,0,1,0,0,2,0,1,2,1,1,0,1,17.21,8.92,5.47,10.73
0,1,0,0,1,2,0,0,0,0,2,1,0,2,1,1,18.48,8.99,11.37,12.07
2,1,0,1,0,2,0,2,1,2,2,1,2,0,0,0,19.34,14.37,9.99,8.34
2,1,2,2,1,1,2,0,1,0,2,1,1,0,0,2,15,11,4.05,6.3
1,0,2,2,0,0,1,0,0,1,1,2,2,2,1,2,15.13,4.81,8.4,8.38
2,2,0,2,1,0,0,0,1,2,1,1,2,0,0,1,12.82,6.57,4.72,6.42
0,1,2,0,0,2,2,2,2,0,1,2,0,2,1,0,19.99,16.3,11.49,10.58
2,1,2,0,1,2,0,2,0,1,0,2,1,2,2,2,17.36,8.92,13.11,6.23
2,0,2,0,0,1,2,0,0,1,1,0,0,0,2,1,16.62,4.19,5.1,10.43
2,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,14.17,2.14,5.51,8.25
0,2,0,0,1,2,0,2,1,0,1,1,0,1,2,2,18.26,8.02,11.03,10.87
2,0,2,0,0,0,0,2,1,2,0,2,1,1,2,0,15.18,12.53,9.08,8.93
0,1,2,0,1,0,2,1,2,1,0,2,2,0,0,2,12.41,10.09,3.65,6.45
0,2,2,2,1,1,1,2,2,2,2,0,1,0,1,0,13.2,16.86,2.46,4.86
1,1,2,2,2,0,1,0,2,0,2,0,2,2,2,2,15.44,10.12,6.42,6.68
2,1,0,2,2,2,0,1,0,1,1,0,0,2,0,0,15.18,2.09,8.29,8.51
1,0,1,0,2,1,0,2,0,0,2,0,2,2,0,2,16.48,10.92,5.89,6.04
0,0,1,0,2,2,0,2,2,2,1,2,0,2,2,0,21.68,16.11,11.58,12.14
1,1,2,0,2,0,0,1,0,0,2,2,0,1,2,1,17.31,8.2,9.81,12.54
1,0,1,0,0,2,2,1,2,0,0,0,1,0,2,1,17.45,8.2,9.61,6.7
2,2,1,0,0,0,2,2,0,0,2,0,1,1,2,2,16.79,14.25,7.2,6.03
1,0,1,0,2,1,2,2,0,0,2,1,2,2,2,1,22.85,16.95,9.9,10.02
1,1,0,1,1,2,1,0,0,2,2,2,2,0,1,1,21.4,10.78,11.6,10.39
0,1,1,1,2,2,1,0,2,0,0,2,2,2,0,1,17.12,8,9.6,8.27
0,0,1,2,2,0,0,0,1,0,1,0,1,1,1,2,12.29,2.71,4.76,8.02
1,0,0,2,2,2,1,0,1,0,0,0,0,1,1,1,18.12,2.02,10.3,10.83
1,2,0,0,0,1,0,1,2,2,1,2,0,2,0,0,18.73,12.96,7.25,10.15
1,2,2,0,1,2,2,1,2,0,0,1,0,1,1,1,19.5,12.11,13.17,8.58
1,1,0,2,1,2,1,0,0,2,2,0,2,2,0,2,17.7,10.68,8.89,4.44
1,0,2,0,2,2,0,2,0,0,1,2,0,0,0,2,15.32,6.75,9.23,8.09
1,0,2,0,0,0,1,1,2,2,0,2,1,2,2,0,16.95,12.54,9.87,8.3
1,1,0,0,1,1,2,2,2,1,2,0,1,2,1,2,23.93,18.45,7.36,8.81
0,0,2,0,1,0,2,2,0,2,0,2,1,2,2,2,16.15,16.87,7.12,8.41
1,1,0,1,1,0,0,0,2,1,0,0,2,0,1,2,15.53,4.9,5.96,10.66
0,0,1,0,2,2,0,0,1,1,0,0,1,2,0,1,12.07,2.91,7.44,4.47
0,1,1,0,0,1,0,2,0,1,0,0,0,2,1,0,15.2,6.12,5.32,12.44
0,1,2,2,1,1,2,2,2,0,1,1,2,1,2,2,19.2,16.2,6.45,8.46
2,1,1,2,0,2,2,0,2,0,1,1,0,1,2,1,23.66,12.84,12.22,12.6
2,1,1,2,1,1,1,0,1,0,1,1,0,1,2,2,21.97,4.74,8.3,14.03
1,2,1,1,2,1,0,1,2,1,2,1,0,2,0,0,20.83,12.06,7.48,12.97
2,2,0,0,0,1,2,1,0,0,0,2,2,2,2,0,15.64,8.16,9.18,8.49
0,2,2,2,1,0,1,2,1,2,0,2,0,1,0,1,14.46,12.7,4.75,8.52
0,1,1,0,0,1,0,0,0,2,2,2,2,2,2,1,18.52,12.77,7.13,10.03
